"Python 3.10.5 Development Libraries (64-bit debug)" : "" : "Unknown"
"Microsoft Update Health Tools" : "" : "Unknown"
"Microsoft .NET Core Host - 3.1.32 (x64)" : "" : "Unknown"
"Microsoft .NET Host FX Resolver - 5.0.17 (x64)" : "" : "Unknown"
"Python 3.10.5 Test Suite (64-bit symbols)" : "" : "Unknown"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4048 False" : "" : "Unknown"
"Autodesk Maya 2023" : "" : "Unknown"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005 False" : "" : "Unknown"
"Python 3.10.5 Executables (64-bit debug)" : "" : "Unknown"
"Python 3.10.5 Tcl/Tk Support (64-bit debug)" : "" : "Unknown"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727 False" : "" : "Unknown"
"Python 3.10.5 Test Suite (64-bit debug)" : "" : "Unknown"
"VS Script Debugging Common" : "" : "Unknown"
"Microsoft Visual C++ 2019 X64 Debug Runtime - 14.29.30139" : "" : "Unknown"
"Microsoft .NET Core Runtime - 3.1.32 (x64)" : "" : "Unknown"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005 False" : "" : "Unknown"
"Blackmagic RAW Common Components" : "" : "Unknown"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.51011 False" : "" : "Unknown"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40649 False" : "" : "Unknown"
"Microsoft .NET Core Host FX Resolver - 3.1.32 (x64)" : "" : "Unknown"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727 False" : "" : "Unknown"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.61000" : "" : "Unknown"
"Unknown" : "Unknown" : "Unknown"
"KeePassXC" : "C:\Program Files\KeePassXC\" : "Unknown"
"NVIDIA Графический драйвер 512.15" : "C:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{6F0C3524-E12D-4D03-AEE6-BAD00AC96FAE}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"NVIDIA GeForce Experience 3.25.1.27" : "C:\Program Files\NVIDIA Corporation\Installer2\Display.GFExperience.{CF790771-F831-4D89-AB0D-202E3AFA5DD2}" : "C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.dll,0"
"Unknown" : "Unknown" : "Unknown"
